x_m,z_m
28.700000,9.141080074024e-06
28.750000,2.533981724893e-05
28.800000,1.287332202789e-06
28.850000,4.633193251941e-06
28.900000,9.253693680832e-06
28.950000,-1.357398594450e-05
29.000000,-1.444321875288e-05
29.050000,-6.795264957265e-06
29.100000,-1.652068005836e-05
29.150000,-1.281900677180e-07
29.200000,4.293270858942e-05
29.250000,4.057696419115e-05
29.300000,1.364410207895e-05
29.350000,-4.237982036819e-06
29.400000,-4.294159918049e-05
29.450000,-7.762365583100e-05
29.500000,-1.041711606184e-04
29.550000,-1.157025669478e-04
29.600000,-1.068510665022e-04
29.650000,-1.024911360174e-04
29.700000,-6.467292315197e-05
29.750000,-5.125287858300e-05
29.800000,-8.302385323934e-05
29.850000,-6.895597693195e-05
29.900000,-6.648775125804e-05
29.950000,-6.870497038949e-05
30.000000,-2.861035255894e-05
30.050000,-2.701950341128e-05
30.100000,-7.167632039472e-05
30.150000,-1.232380595911e-04
30.200000,-1.541236841314e-04
30.250000,-1.941627677109e-04
30.300000,-2.264035877841e-04
30.350000,-1.664961539471e-04
30.400000,-1.424117716831e-04
30.450000,-1.860234297662e-04
30.500000,-1.661232461311e-04
30.550000,-1.562690640292e-04
30.600000,-1.812051512055e-04
30.650000,-1.790615010671e-04
30.700000,-1.777672333032e-04
30.750000,-1.811416396921e-04
30.800000,-1.863848548901e-04
30.850000,-2.059979366397e-04
30.900000,-2.210927222513e-04
30.950000,-1.981134510760e-04
31.000000,-1.824758091076e-04
31.050000,-2.048400315504e-04
31.100000,-2.132432281456e-04
31.150000,-2.529269828094e-04
31.200000,-3.198910904443e-04
31.250000,-3.376901374695e-04
31.300000,-3.257977461728e-04
31.350000,-2.993389113872e-04
31.400000,-3.068354901037e-04
31.450000,-3.413923809512e-04
31.500000,-3.354716601785e-04
31.550000,-3.255180020645e-04
31.600000,-3.250710484949e-04
31.650000,-3.438581979211e-04
31.700000,-3.546847788154e-04
31.750000,-3.208113752043e-04
31.800000,-3.123635345835e-04
31.850000,-3.046363435214e-04
31.900000,-2.951963681828e-04
31.950000,-3.118131271154e-04
32.000000,-2.918964936885e-04
32.050000,-2.910348085729e-04
32.100000,-3.129610785500e-04
32.150000,-3.020847520591e-04
32.200000,-3.017501644276e-04
32.250000,-3.038341620085e-04
32.300000,-3.050318686379e-04
32.350000,-2.939803704773e-04
32.400000,-2.599790877012e-04
32.450000,-2.427947914432e-04
32.500000,-2.283904631633e-04
32.550000,-2.269198462879e-04
32.600000,-2.319818330863e-04
32.650000,-2.142665301584e-04
32.700000,-2.090467128495e-04
32.750000,-2.270600861798e-04
32.800000,-2.691435035188e-04
32.850000,-2.966053125550e-04
32.900000,-2.753539892529e-04
32.950000,-2.539605818653e-04
33.000000,-2.463631496545e-04
33.050000,-2.531246791760e-04
33.100000,-2.719299600195e-04
33.150000,-3.005299359534e-04
33.200000,-3.326797457948e-04
33.250000,-3.072991402573e-04
33.300000,-2.619595665970e-04
33.350000,-2.536054434082e-04
33.400000,-2.265132935938e-04
33.450000,-1.820881478068e-04
33.500000,-1.500695646467e-04
33.550000,-1.189055039079e-04
33.600000,-1.023606147605e-04
33.650000,-9.166109414900e-05
33.700000,-5.912597117162e-05
33.750000,-3.984075054368e-05
33.800000,-2.907128799694e-05
33.850000,1.457541146904e-05
33.900000,2.156409480639e-05
33.950000,8.207883079262e-06
34.000000,4.380565433338e-05
34.050000,4.698311050631e-05
34.100000,3.290877462420e-05
34.150000,3.912466809935e-05
34.200000,1.733832972125e-05
34.250000,1.966122395732e-06
34.300000,-1.633317835049e-05
34.350000,-3.465818285150e-05
34.400000,-2.309989638471e-05
34.450000,-1.953501107917e-05
